PLATFORM,ARGOS_ID,DATE (yyyy-mm-ddThh:mi:ssZ),LATITUDE (degree_north),LONGITUDE (degree_east),DEPH LEVEL0 (meter),QC
5200811,127025,2015-11-14T16:00:00Z,22.3289,139.8986,0,001447
5200811,127025,2015-11-14T17:00:00Z,22.3289,139.8986,0,001117
5200811,127025,2015-11-14T18:00:00Z,22.3306,139.8964,0,001117
5200811,127025,2015-11-14T19:00:00Z,22.3306,139.8964,0,001117
5200811,127025,2015-11-14T20:00:00Z,22.4024,139.8580,0,001447
5200811,127025,2015-11-14T21:00:00Z,22.4068,139.8541,0,001117
5200811,127025,2015-11-14T22:00:00Z,22.4068,139.8541,0,001117
5200811,127025,2015-11-14T23:00:00Z,22.4716,139.8096,0,001447
5200811,127025,2015-11-15T00:00:00Z,22.4716,139.8096,0,001117
5200811,127025,2015-11-15T01:00:00Z,22.4954,139.7966,0,001117
5200811,127025,2015-11-15T02:00:00Z,22.5114,139.7990,0,001117
5200811,127025,2015-11-15T03:00:00Z,22.5672,139.8030,0,001447
5200811,127025,2015-11-15T04:00:00Z,22.5672,139.8030,0,001117
5200811,127025,2015-11-15T05:00:00Z,22.5673,139.8029,0,001117
5200811,127025,2015-11-15T06:00:00Z,22.5993,139.7946,0,001117
5200811,127025,2015-11-15T07:00:00Z,22.6343,139.7987,0,001117
5200811,127025,2015-11-15T08:00:00Z,22.6348,139.7974,0,001117
5200811,127025,2015-11-15T09:00:00Z,22.6441,139.7826,0,001117
5200811,127025,2015-11-15T10:00:00Z,22.6441,139.7826,0,001117
5200811,127025,2015-11-15T11:00:00Z,22.6823,139.7502,0,001117
5200811,127025,2015-11-15T12:00:00Z,22.6952,139.7423,0,001117
5200811,127025,2015-11-15T13:00:00Z,22.7109,139.7542,0,001117
5200811,127025,2015-11-15T14:00:00Z,22.7109,139.7542,0,001117
5200811,127025,2015-11-15T15:00:00Z,22.7819,139.7508,0,001447
5200811,127025,2015-11-15T16:00:00Z,22.7819,139.7508,0,001117
5200811,127025,2015-11-15T17:00:00Z,22.7819,139.7508,0,001117
5200811,127025,2015-11-15T18:00:00Z,22.8104,139.7405,0,001117
5200811,127025,2015-11-15T19:00:00Z,22.8115,139.7425,0,001117
5200811,127025,2015-11-15T20:00:00Z,22.8302,139.7224,0,001117
5200811,127025,2015-11-15T21:00:00Z,22.8379,139.7228,0,001117
5200811,127025,2015-11-15T22:00:00Z,22.8383,139.7058,0,001117
5200811,127025,2015-11-15T23:00:00Z,22.8383,139.7058,0,001117
5200811,127025,2015-11-16T00:00:00Z,22.8979,139.6898,0,001447
