PLATFORM,ARGOS_ID,DATE (YYYY-MM-DDTHH:MI:SSZ),LATITUDE (degree_north),LONGITUDE (degree_east),PRES (decibar),TEMP (degree_Celsius),PSAL (psu),PRES_ADJUSTED (decibar),TEMP_ADJUSTED (degree_Celsius),PSAL_ADJUSTED (psu),QC,STATION_NUMBER,PARAMETER,PREDEPLOYMENT_CALIB_EQUATION,PREDEPLOYMENT_CALIB_COEFFICIENT,PREDEPLOYMENT_CALIB_COMMENT,STATION_PARAMETERS,CALIBRATION_DATE,VERTICAL_SAMPLING_SCHEME,CONFIG_MISSION_NUMBER,PROFILE_NUMBER,DATA_MODE
2901167,40956,2008-12-28T11:29:42Z,20.9760,121.0650,1098.7,4.005,34.518,1098.7,4.005,34.5182,00111111111,0058_40956_008,PRES,PRES_ADJUSTED = PRES - dP,dP =  0.0 dbar.,Pressures adjusted by using pressure offset at the sea surface. The quoted error is manufacturer specified accuracy in dbar.,PRES,28/06/2011 05:04:33,Primary sampling: discrete [],1,1,D
2901167,40956,2008-12-28T11:29:42Z,20.9760,121.0650,1149.4,3.82,34.534,1149.4,3.82,34.5343,00111111111,0058_40956_008,PRES,PRES_ADJUSTED = PRES - dP,dP =  0.0 dbar.,Pressures adjusted by using pressure offset at the sea surface. The quoted error is manufacturer specified accuracy in dbar.,PRES,28/06/2011 05:04:33,Primary sampling: discrete [],1,1,D
2901167,40956,2008-12-28T11:29:42Z,20.9760,121.0650,1199.3,3.543,34.551,1199.3,3.543,34.5512,00111111111,0058_40956_008,PRES,PRES_ADJUSTED = PRES - dP,dP =  0.0 dbar.,Pressures adjusted by using pressure offset at the sea surface. The quoted error is manufacturer specified accuracy in dbar.,PRES,28/06/2011 05:04:33,Primary sampling: discrete [],1,1,D
2901167,40956,2008-12-28T11:29:42Z,20.9760,121.0650,1248.9,3.345,34.561,1248.9,3.345,34.5611,00111111111,0058_40956_008,PRES,PRES_ADJUSTED = PRES - dP,dP =  0.0 dbar.,Pressures adjusted by using pressure offset at the sea surface. The quoted error is manufacturer specified accuracy in dbar.,PRES,28/06/2011 05:04:33,Primary sampling: discrete [],1,1,D
2901167,40956,2008-12-28T11:29:42Z,20.9760,121.0650,1299.3,3.227,34.565,1299.3,3.227,34.5652,00111111111,0058_40956_008,PRES,PRES_ADJUSTED = PRES - dP,dP =  0.0 dbar.,Pressures adjusted by using pressure offset at the sea surface. The quoted error is manufacturer specified accuracy in dbar.,PRES,28/06/2011 05:04:33,Primary sampling: discrete [],1,1,D
2901167,40956,2008-12-28T11:29:42Z,20.9760,121.0650,1349.3,3.028,34.575,1349.3,3.028,34.5752,00111111111,0058_40956_008,PRES,PRES_ADJUSTED = PRES - dP,dP =  0.0 dbar.,Pressures adjusted by using pressure offset at the sea surface. The quoted error is manufacturer specified accuracy in dbar.,PRES,28/06/2011 05:04:33,Primary sampling: discrete [],1,1,D
2901167,40956,2008-12-28T11:29:42Z,20.9760,121.0650,1399.3,2.89,34.58,1399.3,2.89,34.5801,00111111111,0058_40956_008,PRES,PRES_ADJUSTED = PRES - dP,dP =  0.0 dbar.,Pressures adjusted by using pressure offset at the sea surface. The quoted error is manufacturer specified accuracy in dbar.,PRES,28/06/2011 05:04:33,Primary sampling: discrete [],1,1,D
2901167,40956,2008-12-28T11:29:42Z,20.9760,121.0650,1449.5,2.783,34.584,1449.5,2.783,34.5841,00111111111,0058_40956_008,PRES,PRES_ADJUSTED = PRES - dP,dP =  0.0 dbar.,Pressures adjusted by using pressure offset at the sea surface. The quoted error is manufacturer specified accuracy in dbar.,PRES,28/06/2011 05:04:33,Primary sampling: discrete [],1,1,D
2901167,40956,2008-12-28T11:29:42Z,20.9760,121.0650,1499,2.698,34.589,1499,2.698,34.589,00111111111,0058_40956_008,PRES,PRES_ADJUSTED = PRES - dP,dP =  0.0 dbar.,Pressures adjusted by using pressure offset at the sea surface. The quoted error is manufacturer specified accuracy in dbar.,PRES,28/06/2011 05:04:33,Primary sampling: discrete [],1,1,D
2901167,40956,2008-12-28T11:29:42Z,20.9760,121.0650,1599.3,2.654,34.591,1599.3,2.654,34.5911,00111111111,0058_40956_008,PRES,PRES_ADJUSTED = PRES - dP,dP =  0.0 dbar.,Pressures adjusted by using pressure offset at the sea surface. The quoted error is manufacturer specified accuracy in dbar.,PRES,28/06/2011 05:04:33,Primary sampling: discrete [],1,1,D
2901167,40956,2008-12-28T11:29:42Z,20.9760,121.0650,1699.3,2.548,34.595,1699.3,2.548,34.595,00111111111,0058_40956_008,PRES,PRES_ADJUSTED = PRES - dP,dP =  0.0 dbar.,Pressures adjusted by using pressure offset at the sea surface. The quoted error is manufacturer specified accuracy in dbar.,PRES,28/06/2011 05:04:33,Primary sampling: discrete [],1,1,D
2901167,40956,2008-12-28T11:29:42Z,20.9760,121.0650,1799.5,2.495,34.599,1799.5,2.495,34.599,00111111111,0058_40956_008,PRES,PRES_ADJUSTED = PRES - dP,dP =  0.0 dbar.,Pressures adjusted by using pressure offset at the sea surface. The quoted error is manufacturer specified accuracy in dbar.,PRES,28/06/2011 05:04:33,Primary sampling: discrete [],1,1,D
2901167,40956,2008-12-28T11:29:42Z,20.9760,121.0650,1899.3,2.427,34.607,1899.3,2.427,34.607,00111111111,0058_40956_008,PRES,PRES_ADJUSTED = PRES - dP,dP =  0.0 dbar.,Pressures adjusted by using pressure offset at the sea surface. The quoted error is manufacturer specified accuracy in dbar.,PRES,28/06/2011 05:04:33,Primary sampling: discrete [],1,1,D
2901167,40956,2008-12-28T11:29:42Z,20.9760,121.0650,1999.2,2.401,34.608,1999.2,2.401,34.6082,00111111111,0058_40956_008,PRES,PRES_ADJUSTED = PRES - dP,dP =  0.0 dbar.,Pressures adjusted by using pressure offset at the sea surface. The quoted error is manufacturer specified accuracy in dbar.,PRES,28/06/2011 05:04:33,Primary sampling: discrete [],1,1,D
2901167,40956,2008-12-28T11:29:42Z,20.9760,121.0650,2003.2,2.388,34.612,2003.2,2.388,34.612,00111111111,0058_40956_008,PRES,PRES_ADJUSTED = PRES - dP,dP =  0.0 dbar.,Pressures adjusted by using pressure offset at the sea surface. The quoted error is manufacturer specified accuracy in dbar.,PRES,28/06/2011 05:04:33,Primary sampling: discrete [],1,1,D
