PLATFORM,DATE (YYYY-MM-DDTHH:MI:SSZ),LATITUDE (degree_north),LONGITUDE (degree_east),DEPH (meter),TEMP (degree_Celsius),QC,BATHY,BATHY_QC,STATION_GLOBAL_QC
WDD6033,2009-01-08T05:16:00Z,18.4250,129.8450,368,14.7,011111, ,9,1
WDD6033,2009-01-08T05:16:00Z,18.4250,129.8450,370,14.6,011111, ,9,1
WDD6033,2009-01-08T05:16:00Z,18.4250,129.8450,372,14.6,011111, ,9,1
WDD6033,2009-01-08T05:16:00Z,18.4250,129.8450,374,14.5,011111, ,9,1
WDD6033,2009-01-08T05:16:00Z,18.4250,129.8450,376,14.4,011111, ,9,1
WDD6033,2009-01-08T05:16:00Z,18.4250,129.8450,378,14.4,011111, ,9,1
WDD6033,2009-01-08T05:16:00Z,18.4250,129.8450,380,14.3,011111, ,9,1
WDD6033,2009-01-08T05:16:00Z,18.4250,129.8450,382,14.2,011111, ,9,1
WDD6033,2009-01-08T05:16:00Z,18.4250,129.8450,384,14.2,011111, ,9,1
WDD6033,2009-01-08T05:16:00Z,18.4250,129.8450,386,14,011111, ,9,1
WDD6033,2009-01-08T05:16:00Z,18.4250,129.8450,388,13.8,011111, ,9,1
WDD6033,2009-01-08T05:16:00Z,18.4250,129.8450,390,13.6,011111, ,9,1
WDD6033,2009-01-08T05:16:00Z,18.4250,129.8450,392,13.5,011111, ,9,1
WDD6033,2009-01-08T05:16:00Z,18.4250,129.8450,394,13.4,011111, ,9,1
WDD6033,2009-01-08T05:16:00Z,18.4250,129.8450,396,13.3,011111, ,9,1
WDD6033,2009-01-08T05:16:00Z,18.4250,129.8450,398,13.2,011111, ,9,1
WDD6033,2009-01-08T05:16:00Z,18.4250,129.8450,400,13.2,011111, ,9,1
WDD6033,2009-01-08T05:16:00Z,18.4250,129.8450,402,13.1,011111, ,9,1
WDD6033,2009-01-08T05:16:00Z,18.4250,129.8450,404,13,011111, ,9,1
WDD6033,2009-01-08T05:16:00Z,18.4250,129.8450,406,12.8,011111, ,9,1
WDD6033,2009-01-08T05:16:00Z,18.4250,129.8450,408,12.8,011111, ,9,1
WDD6033,2009-01-08T05:16:00Z,18.4250,129.8450,410,12.6,011111, ,9,1
WDD6033,2009-01-08T05:16:00Z,18.4250,129.8450,412,12.6,011111, ,9,1
WDD6033,2009-01-08T05:16:00Z,18.4250,129.8450,414,12.5,011111, ,9,1
WDD6033,2009-01-08T05:16:00Z,18.4250,129.8450,416,12.5,011111, ,9,1
WDD6033,2009-01-08T05:16:00Z,18.4250,129.8450,418,12.4,011111, ,9,1
WDD6033,2009-01-08T05:16:00Z,18.4250,129.8450,420,12.4,011111, ,9,1
WDD6033,2009-01-08T05:16:00Z,18.4250,129.8450,422,12.3,011111, ,9,1
WDD6033,2009-01-08T05:16:00Z,18.4250,129.8450,424,12.2,011111, ,9,1
WDD6033,2009-01-08T05:16:00Z,18.4250,129.8450,426,12.1,011111, ,9,1
WDD6033,2009-01-08T05:16:00Z,18.4250,129.8450,428,12.1,011111, ,9,1
WDD6033,2009-01-08T05:16:00Z,18.4250,129.8450,430,12,011111, ,9,1
